Post Code,Distance to CBD (km),Time to CBD
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4000,1.6 km,6 mins
4001,33.2 km,32 mins
4001,33.2 km,32 mins
4001,33.2 km,32 mins
4001,33.2 km,32 mins
4002,0.8 km,4 mins
4002,0.8 km,4 mins
4003,1.2 km,3 mins
4004,174 km,1 hour 56 mins
4005,4.6 km,14 mins
4005,4.6 km,14 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4006,30.2 km,32 mins
4007,9.8 km,15 mins
4007,9.8 km,15 mins
4007,9.8 km,15 mins
4007,9.8 km,15 mins
4007,9.8 km,15 mins
4007,9.8 km,15 mins
4008,20.1 km,21 mins
4008,20.1 km,21 mins
4008,20.1 km,21 mins
4008,20.1 km,21 mins
4008,20.1 km,21 mins
4009,16.3 km,18 mins
4009,16.3 km,18 mins
4010,7.6 km,11 mins
4010,7.6 km,11 mins
4010,7.6 km,11 mins
4010,7.6 km,11 mins
4011,10.5 km,16 mins
4011,10.5 km,16 mins
4011,10.5 km,16 mins
4012,13.1 km,18 mins
4012,13.1 km,18 mins
4012,13.1 km,18 mins
4012,13.1 km,18 mins
4013,14.6 km,18 mins
4013,14.6 km,18 mins
4014,18.3 km,24 mins
4014,18.3 km,24 mins
4014,18.3 km,24 mins
4014,18.3 km,24 mins
4014,18.3 km,24 mins
4014,18.3 km,24 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4017,30.2 km,30 mins
4018,19.2 km,26 mins
4018,19.2 km,26 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4019,37.9 km,35 mins
4020,42.0 km,42 mins
4020,42.0 km,42 mins
4020,42.0 km,42 mins
4020,42.0 km,42 mins
4021,41.2 km,41 mins
4022,34.2 km,39 mins
4025,undefined,undefined
4025,undefined,undefined
4025,undefined,undefined
4025,undefined,undefined
4025,undefined,undefined
4025,undefined,undefined
4029,5.1 km,10 mins
4030,8.3 km,13 mins
4030,8.3 km,13 mins
4030,8.3 km,13 mins
4030,8.3 km,13 mins
4030,8.3 km,13 mins
4031,10.4 km,13 mins
4031,10.4 km,13 mins
4031,10.4 km,13 mins
4032,14.3 km,21 mins
4032,14.3 km,21 mins
4032,14.3 km,21 mins
4032,14.3 km,21 mins
4032,14.3 km,21 mins
4032,14.3 km,21 mins
4034,16.6 km,24 mins
4034,16.6 km,24 mins
4034,16.6 km,24 mins
4034,16.6 km,24 mins
4034,16.6 km,24 mins
4035,16.2 km,27 mins
4035,16.2 km,27 mins
4035,16.2 km,27 mins
4036,21.7 km,30 mins
4037,23.1 km,35 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4051,6.7 km,13 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4053,10.4 km,19 mins
4054,11.8 km,22 mins
4054,11.8 km,22 mins
4054,11.8 km,22 mins
4055,16.1 km,27 mins
4055,16.1 km,27 mins
4055,16.1 km,27 mins
4055,16.1 km,27 mins
4055,16.1 km,27 mins
4055,16.1 km,27 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4059,3.5 km,8 mins
4060,6.6 km,12 mins
4060,undefined,undefined
4060,6.6 km,12 mins
4060,6.6 km,12 mins
4060,6.6 km,12 mins
4061,11.5 km,20 mins
4064,3.7 km,10 mins
4064,3.7 km,10 mins
4064,3.7 km,10 mins
4064,3.7 km,10 mins
4064,3.7 km,10 mins
4065,6.4 km,15 mins
4065,6.4 km,15 mins
4065,6.4 km,15 mins
4065,6.4 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4066,7.9 km,15 mins
4067,7.2 km,14 mins
4067,7.2 km,14 mins
4067,7.2 km,14 mins
4068,8.3 km,16 mins
4068,8.3 km,16 mins
4068,8.3 km,16 mins
4068,8.3 km,16 mins
4068,8.3 km,16 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4069,17.3 km,29 mins
4070,22.8 km,33 mins
4070,22.8 km,33 mins
