Post Code,Name,State,Suburb Unique ID,Closest City,Distance to CBD (km),Time to CBD,Distance (number),Hip,Family,Affluence,Lifestyle,Convenience,Tranquility,Communication,Community,Listings Houses Latest Month,Listings Houses 12M Prior
4000,Brisbane,Qld,4000Brisbane,Brisbane,1.6 km,6 mins,2,8,9,10,9,10,8,9,9,29,38
4000,Brisbane Adelaide Street,Qld,4000Brisbane Adelaide Street,Brisbane,1.6 km,6 mins,2,,,,,,,,,29,38
4000,Brisbane City,Qld,4000Brisbane City,Brisbane,1.6 km,6 mins,2,8,9,10,9,10,8,9,9,29,38
4000,Brisbane City Dc,Qld,4000Brisbane City Dc,Brisbane,1.6 km,6 mins,2,,,,,,,,,29,38
4000,Brisbane Gpo,Qld,4000Brisbane Gpo,Brisbane,1.6 km,6 mins,2,8,9,10,9,10,8,9,9,29,38
4000,Brisbane City,Qld,4000Brisbane City,Brisbane,1.6 km,6 mins,2,8,9,10,9,10,8,9,9,29,38
4000,Parliament House,Qld,4000Parliament House,Brisbane,1.6 km,6 mins,2,,,,,,,,,29,38
4000,Petrie Terrace,Qld,4000Petrie Terrace,Brisbane,1.6 km,6 mins,2,,,,,,,,,29,38
4000,Spring Hill,Qld,4000Spring Hill,Brisbane,1.6 km,6 mins,2,8,9,10,9,10,8,9,9,29,38
4001,Brisbane,Qld,4001Brisbane,Brisbane,33.2 km,32 mins,33,8,9,10,9,10,8,9,9,0,0
4001,Central Plaza,Qld,4001Central Plaza,Brisbane,33.2 km,32 mins,33,,,,,,,,,0,0
4001,Riverside Centre,Qld,4001Riverside Centre,Brisbane,33.2 km,32 mins,33,,,,,,,,,0,0
4001,Waterfront Place,Qld,4001Waterfront Place,Brisbane,33.2 km,32 mins,33,,,,,,,,,0,0
4002,Brisbane Albert Street Bc,Qld,4002Brisbane Albert Street Bc,Brisbane,0.8 km,4 mins,1,,,,,,,,,0,0
4002,Wintergarden,Qld,4002Wintergarden,Brisbane,0.8 km,4 mins,1,,,,,,,,,0,0
4003,George Street,Qld,4003George Street,Bundaberg,1.2 km,3 mins,1,,,,,,,,,0,0
4004,Spring Hill,Qld,4004Spring Hill,Rockhampton,174 km,1 hour 56 mins,174,8,9,10,9,10,8,9,9,0,0
4005,New Farm,Qld,4005New Farm,Brisbane,4.6 km,14 mins,5,9,9,10,9,9,8,9,9,36,71
4005,Teneriffe,Qld,4005Teneriffe,Brisbane,4.6 km,14 mins,5,9,9,10,9,9,9,9,9,36,71
4006,Bowen Bridge,Qld,4006Bowen Bridge,Brisbane,30.2 km,32 mins,30,,,,,,,,,51,63
4006,Bowen Hills,Qld,4006Bowen Hills,Brisbane,30.2 km,32 mins,30,9,9,9,9,9,7,9,9,51,63
4006,Brisbane Exhibition,Qld,4006Brisbane Exhibition,Brisbane,30.2 km,32 mins,30,,,,,,,,,51,63
4006,Fortitude Valley,Qld,4006Fortitude Valley,Brisbane,30.2 km,32 mins,30,9,9,10,10,10,7,9,9,51,63
4006,Fortitude Valley Bc,Qld,4006Fortitude Valley Bc,Brisbane,30.2 km,32 mins,30,,,,,,,,,51,63
4006,Herston,Qld,4006Herston,Brisbane,30.2 km,32 mins,30,8,9,10,9,9,8,9,9,51,63
4006,Mayne,Qld,4006Mayne,Brisbane,30.2 km,32 mins,30,,,,,,,,,51,63
4006,Newstead,Qld,4006Newstead,Brisbane,30.2 km,32 mins,30,9,9,10,9,9,8,9,9,51,63
4007,Ascot,Qld,4007Ascot,Brisbane,9.8 km,15 mins,10,7,10,10,9,9,9,9,9,85,134
4007,Brisbane Airport,Qld,4007Brisbane Airport,Brisbane,9.8 km,15 mins,10,,,,,,,,,85,134
4007,Doomben,Qld,4007Doomben,Brisbane,9.8 km,15 mins,10,,,,,,,,,85,134
4007,Hamilton,Qld,4007Hamilton,Brisbane,9.8 km,15 mins,10,7,9,10,9,9,9,9,9,85,134
4007,Hamilton Central,Qld,4007Hamilton Central,Brisbane,9.8 km,15 mins,10,9,8,9,10,10,7,9,8,85,134
4007,Whinstanes,Qld,4007Whinstanes,Brisbane,9.8 km,15 mins,10,,,,,,,,,85,134
4008,Brisbane Airport,Qld,4008Brisbane Airport,Brisbane,20.1 km,21 mins,20,,,,,,,,,2,0
4008,Bulwer Island,Qld,4008Bulwer Island,Brisbane,20.1 km,21 mins,20,,,,,,,,,2,0
4008,Meeandah,Qld,4008Meeandah,Brisbane,20.1 km,21 mins,20,,,,,,,,,2,0
4008,Myrtletown,Qld,4008Myrtletown,Brisbane,20.1 km,21 mins,20,,,,,,,,,2,0
4008,Pinkenba,Qld,4008Pinkenba,Brisbane,20.1 km,21 mins,20,,,,,,,,,2,0
4009,Eagle Farm,Qld,4009Eagle Farm,Brisbane,16.3 km,18 mins,16,7,,6,8,7,8,6,8,0,0
4009,Eagle Farm Bc,Qld,4009Eagle Farm Bc,Brisbane,16.3 km,18 mins,16,,,,,,,,,0,0
4010,Albion,Qld,4010Albion,Brisbane,7.6 km,11 mins,8,8,9,9,9,9,8,9,9,6,12
4010,Albion Bc,Qld,4010Albion Bc,Brisbane,7.6 km,11 mins,8,6,6,4,7,7,8,9,9,6,12
4010,Albion Dc,Qld,4010Albion Dc,Brisbane,7.6 km,11 mins,8,6,6,4,7,7,8,9,9,6,12
4010,Breakfast Creek,Qld,4010Breakfast Creek,Brisbane,7.6 km,11 mins,8,,,,,,,,,6,12
4011,Clayfield,Qld,4011Clayfield,Brisbane,10.5 km,16 mins,11,7,10,10,9,9,9,9,9,67,113
4011,Eagle Junction,Qld,4011Eagle Junction,Brisbane,10.5 km,16 mins,11,,,,,,,,,67,113
4011,Hendra,Qld,4011Hendra,Brisbane,10.5 km,16 mins,11,7,9,9,8,9,9,9,10,67,113
4012,Nundah,Qld,4012Nundah,Brisbane,13.1 km,18 mins,13,7,9,8,9,9,8,9,9,93,126
4012,Toombul,Qld,4012Toombul,Brisbane,13.1 km,18 mins,13,7,9,8,9,9,8,9,9,93,126
4012,Wavell Heights,Qld,4012Wavell Heights,Brisbane,13.1 km,18 mins,13,7,9,9,9,9,9,9,9,93,126
4012,Wavell Heights North,Qld,4012Wavell Heights North,Brisbane,13.1 km,18 mins,13,,,,,,,,,93,126
4013,Northgate,Qld,4013Northgate,Brisbane,14.6 km,18 mins,15,7,8,8,8,9,9,9,9,14,32
4013,Northgate Mc,Qld,4013Northgate Mc,Brisbane,14.6 km,18 mins,15,,,,,,,,,14,32
4014,Banyo,Qld,4014Banyo,Brisbane,18.3 km,24 mins,18,7,8,6,8,9,9,9,9,56,94
4014,Nudgee,Qld,4014Nudgee,Brisbane,18.3 km,24 mins,18,7,8,7,8,9,9,9,9,56,94
4014,Nudgee Beach,Qld,4014Nudgee Beach,Brisbane,18.3 km,24 mins,18,6,8,6,8,8,9,6,9,56,94
4014,Virginia,Qld,4014Virginia,Brisbane,18.3 km,24 mins,18,7,9,7,9,9,9,9,9,56,94
4014,Virginia Bc,Qld,4014Virginia Bc,Brisbane,18.3 km,24 mins,18,,,,,,,,,56,94
4014,Virginia Dc,Qld,4014Virginia Dc,Brisbane,18.3 km,24 mins,18,,,,,,,,,56,94
4017,Bracken Ridge,Qld,4017Bracken Ridge,Brisbane,30.2 km,30 mins,30,7,8,7,8,8,9,9,10,164,231
4017,Brighton,Qld,4017Brighton,Brisbane,30.2 km,30 mins,30,7,9,6,8,8,9,9,10,164,231
4017,Brighton Eventide,Qld,4017Brighton Eventide,Brisbane,30.2 km,30 mins,30,7,9,6,8,8,9,9,10,164,231
4017,Brighton Nathan Street,Qld,4017Brighton Nathan Street,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Deagon,Qld,4017Deagon,Brisbane,30.2 km,30 mins,30,7,9,5,8,8,9,9,10,164,231
4017,Nashville,Qld,4017Nashville,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Sandgate,Qld,4017Sandgate,Brisbane,30.2 km,30 mins,30,7,9,8,9,8,9,9,10,164,231
4017,Sandgate Dc,Qld,4017Sandgate Dc,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Shorncliffe,Qld,4017Shorncliffe,Brisbane,30.2 km,30 mins,30,7,10,9,9,8,9,9,10,164,231
4018,Fitzgibbon,Qld,4018Fitzgibbon,Brisbane,19.2 km,26 mins,19,7,8,7,8,9,9,9,9,51,57
4018,Taigum,Qld,4018Taigum,Brisbane,19.2 km,26 mins,19,7,8,6,8,9,9,9,9,51,57
4019,Clontarf,Qld,4019Clontarf,Brisbane,37.9 km,35 mins,38,7,8,3,8,8,9,9,9,117,161
4019,Clontarf Beach,Qld,4019Clontarf Beach,Brisbane,37.9 km,35 mins,38,,,,,,,,,117,161
4019,Clontarf Dc,Qld,4019Clontarf Dc,Brisbane,37.9 km,35 mins,38,7,,2,8,7,8,9,8,117,161
4019,Humpybong,Qld,4019Humpybong,Brisbane,37.9 km,35 mins,38,,,,,,,,,117,161
