State,Postcode,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Qld,4000,4.0,3.8,2.3,2.7,2.1,3.2,2.2,1.9,2.1,1.2,1.4,1.6,2.5,1.8,2.3,1.0,1.9,2.6,2.9,4.1,2.6,2.4,2.6,1.8,2.1,1.7,1.8,2.1,1.6,1.6,2.1,1.9,1.6,1.2,2.8,2.1,2.5,2.7,1.4,2.1,2.7,2.9,3.3,2.2,2.1,3.1,3.1,2.9,4.8,3.4,3.3,3.3,3.8,5.0,5.7,7.1,5.3,3.5,4.2,4.9,4.1,3.3,2.2,2.0,2.3,2.2,2.4,0.7,1.0,2.3,2.4,3.0,2.7,1.5,1.7,1.8,1.8,2.2,1.9,1.4,1.9,2.0,2.5,3.6,2.8,2.4,0.9,0.8,0.8,0.9,0.9,0.9,1.0,1.0,1.5,4.1,4.4,3.5,3.1,3.8,4.3,4.4,4.4,5.1,5.4,5.6,6.5,7.3,7.4,5.6,4.9,5.4,5.4,5.1,4.8,5.1,4.5,4.9,5.3,6.0,6.0,5.1,4.8,5.0,5.5,6.0,6.2,6.2,5.9,5.6,6.2,7.3,8.1,7.5,5.6,5.7,6.1,6.4,6.9,6.2,6.4,6.8,7.2,7.6,8.8,8.0,6.8,7.6,6.9,7.1,7.1,8.3,7.7,8.2,8.7,9.2,9.2,8.0,7.3,6.8,6.0,6.7,7.1,6.5,7.0,7.4,9.1,9.5,8.2,7.2,5.5,5.4,4.5,5.4,4.8,5.4,5.0,4.8,6.2,7.9,6.6,5.4,5.7,11.3,13.3,14.0,13.0,11.4,12.6,12.3,10.9,9.1,8.5,8.9,8.9,7.3,6.4,6.1,6.8,7.5,8.6,8.4,7.9,7.2,5.8,4.4,2.7,3.1,2.8,2.3
Qld,4001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qld,4002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qld,4003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qld,4004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qld,4005,3.1,3.1,4.1,3.5,4.0,3.5,2.9,3.1,6.2,3.7,3.0,3.9,1.5,2.9,4.5,2.2,3.2,3.4,3.4,3.3,2.7,3.8,4.7,2.9,4.6,3.7,4.0,2.4,4.0,2.8,3.0,4.8,3.4,3.6,4.2,2.0,2.9,2.9,3.4,3.4,3.9,4.2,4.5,3.2,3.3,4.2,4.6,4.3,4.8,3.4,4.3,3.7,4.3,4.8,5.2,5.2,4.7,4.2,3.8,4.8,3.7,2.2,2.3,1.9,2.8,3.2,3.4,2.7,2.2,2.2,2.2,2.4,1.6,1.9,1.8,1.9,1.4,1.9,1.8,1.5,1.9,1.8,2.4,3.0,1.9,1.9,1.5,2.0,1.8,2.3,2.0,1.7,1.8,2.6,2.9,3.7,3.2,2.9,2.5,2.7,3.4,3.6,3.2,3.4,3.8,3.8,3.8,4.7,3.7,3.9,4.1,5.1,4.0,4.1,4.5,4.7,4.1,3.7,4.0,3.5,2.8,3.4,3.7,4.0,4.5,3.8,3.4,3.7,3.7,3.7,3.9,4.5,3.9,4.1,4.2,4.9,4.8,5.0,4.8,4.1,4.8,4.8,4.7,5.3,4.2,4.4,4.0,3.7,3.5,4.2,4.5,4.1,3.5,3.6,3.6,3.8,3.7,3.5,3.5,3.1,2.9,3.1,3.8,3.7,3.7,2.8,2.3,2.5,2.1,1.8,1.5,1.7,1.7,1.7,1.6,1.7,1.7,1.6,1.8,2.1,1.7,1.7,2.1,3.3,3.2,2.9,2.6,2.5,2.2,2.2,1.9,1.9,1.5,1.5,1.5,1.3,1.5,1.6,1.4,1.6,2.0,2.0,1.6,1.4,1.2,1.0,0.7,0.8,0.7,0.7
Qld,4006,2.4,2.0,1.2,0.7,0.9,1.2,1.1,1.0,1.6,1.3,1.3,1.4,0.7,0.7,1.0,0.6,1.0,0.8,1.1,1.2,1.1,1.3,1.4,1.1,1.2,1.0,1.2,0.9,1.0,0.7,1.1,1.4,0.8,0.8,1.3,0.9,1.4,1.1,1.0,1.2,1.5,1.7,1.8,1.6,1.7,2.9,2.5,2.1,2.8,2.3,2.4,2.4,2.3,2.8,3.1,3.5,3.0,2.4,2.5,3.5,3.0,2.3,2.0,2.1,3.0,1.8,2.3,2.0,1.0,2.1,1.8,2.1,1.6,1.7,1.2,1.3,1.1,1.3,1.3,1.2,1.1,1.2,1.4,1.8,1.4,1.5,1.0,0.9,1.0,1.5,1.4,1.3,1.5,1.8,2.2,2.4,2.4,2.3,2.1,2.4,2.8,2.4,2.5,2.8,2.6,3.0,4.4,4.7,3.4,3.0,3.0,3.3,3.5,3.4,3.9,4.1,3.7,3.6,3.8,4.0,3.4,3.3,3.0,2.9,3.2,3.5,3.3,3.4,3.4,4.0,4.5,4.5,4.4,4.2,4.4,4.7,4.0,4.5,5.2,6.1,6.7,7.0,7.4,7.0,5.1,4.9,4.5,4.7,5.3,5.8,5.5,5.4,6.1,6.3,6.6,6.3,5.5,5.1,4.6,4.7,4.9,6.0,6.0,6.0,6.0,5.8,6.1,5.8,4.6,4.1,3.8,3.8,3.3,4.1,4.0,4.0,3.9,4.2,4.2,4.8,4.3,3.8,3.4,6.8,7.7,7.9,7.9,7.9,7.9,7.9,6.3,5.3,5.3,4.8,4.3,3.6,3.4,3.0,3.2,3.6,4.0,4.2,4.2,3.4,2.8,3.0,1.9,1.8,1.8,1.6
Qld,4007,4.2,5.0,2.9,2.8,2.8,3.8,2.0,2.4,2.7,2.5,1.5,1.9,2.3,2.1,2.3,1.5,2.0,1.5,1.7,1.4,0.6,1.2,1.8,1.6,2.1,1.9,2.6,2.2,2.6,1.9,2.2,3.5,3.2,2.9,2.6,2.3,3.0,2.7,2.8,3.1,3.5,3.4,3.3,3.4,2.9,3.0,3.0,3.1,3.0,3.2,4.4,4.4,3.1,3.2,0.0,10.1,5.9,1.8,1.1,1.3,1.5,1.2,1.7,5.0,5.2,1.1,1.2,1.1,1.3,1.2,1.1,1.1,0.8,0.7,0.6,0.6,0.6,0.9,0.6,1.3,1.1,1.4,2.1,3.3,1.9,1.2,1.7,1.7,1.9,1.8,3.1,2.0,2.6,2.6,2.9,3.8,2.9,2.2,2.6,4.5,4.9,5.4,5.2,5.5,5.4,5.5,6.8,7.3,6.6,4.9,4.4,5.4,5.3,6.0,5.9,6.2,6.2,7.8,8.6,8.4,6.4,6.8,5.9,6.4,7.0,6.8,6.0,6.4,6.8,6.5,6.5,7.7,6.9,5.8,6.4,6.3,6.2,6.3,7.1,7.3,7.2,7.2,7.2,7.4,7.3,7.3,6.9,6.2,6.7,7.2,7.2,6.2,6.1,4.7,5.5,6.1,5.9,5.7,5.2,5.0,4.8,4.9,5.4,5.7,5.5,4.9,4.9,4.2,3.4,3.5,3.1,3.7,2.8,3.2,4.0,3.9,3.3,3.4,3.8,4.4,3.4,3.3,2.3,3.0,3.0,2.7,2.7,2.4,2.5,2.5,2.1,1.7,1.4,1.5,1.5,1.5,1.1,1.0,1.2,1.5,2.0,1.6,1.6,1.4,0.7,0.7,0.4,0.6,0.5,0.5
Qld,4008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.9,3.8,1.9,1.9,3.8,1.9,0.0,0.0,1.9,1.9,1.9,1.9,1.9,0.0,9.6,7.7,5.8,1.9,1.9,1.9,3.9,1.9,3.9,0.0,0.0,0.0,0.0,0.0,2.0,3.9,9.8,7.8,0.0,2.0,2.0,5.9,5.9,2.0,0.0,4.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.1,8.2,2.0,6.1,4.1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,6.3,2.1,0.0,2.1,2.1,4.2,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.2,2.2,4.4,2.2,4.4,4.4,4.4,4.4,2.2,4.4,6.7,6.7,6.7,6.7,6.7,8.9,6.7,8.9,8.9,6.7,6.7,4.4,4.4,4.4,4.6,4.6,0.0,0.0,0.0,2.3,4.6,6.8,2.3,4.6,2.3,4.6,4.6,2.3,2.3,2.3,7.0,7.0,2.3,2.3,4.7,4.7,4.7,2.3,4.7,2.3,2.4,2.4,4.8,2.4,4.8,2.4,2.4,4.8,4.8,4.8,4.8,7.1,7.1,2.4,2.4,2.4,2.4,4.9,4.9,2.4,2.4,2.4,2.4,2.4
Qld,4009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
