"State/
 Territory",Postcode,"Individuals 2003–04 
 no.","Median3 taxable income 2003–04 
 $","Average3 taxable income 2003–04 
 $","Individuals 2013–14 
 no.","Median3 taxable income 2013–14 
 $","Average3 taxable income 2013–14 
 $","Individuals 2014–15 
 no.","Median3 taxable income 2014–15 
 $","Average3 taxable income 2014–15 
 $","Individuals 2015–16 
 no.","Median3 taxable income 2015–16 
 $","Average3 taxable income 2015–16 
 $","Individuals 2016–17
 no.","Median3 taxable income 2016–17
 $","Average3 taxable income 2016–17
 $","Individuals 2017–18
 no.","Median3 taxable income 2017–18
 $","Average3 taxable income 2017–18
 $","Individuals 2018–19
 no.","Median3 taxable income 2018–19
 $","Average3 taxable income 2018–19
 $","Individuals 2019–20
 no.","Median3 taxable income 2019–20
 $","Average3 taxable income 2019–20
 $"
ACT,2600,"5,692","42,327","55,819","5,712","66,815","94,265","5,592","68,327","101,142","5,581","72,047","102,063","5,646","72,304","102,131","5,962","73,941","107,634","5,953","76,177","112,280","5,945","78,636","119,465"
ACT,2601,"1,833","35,584","47,294","2,777","46,880","66,876","2,792","48,061","65,023","2,658","49,645","68,957","2,820","46,378","64,948","2,810","42,957","64,939","3,083","39,781","64,871","3,159","45,914","67,940"
ACT,2602,"17,431","35,997","41,004","19,072","57,584","68,424","19,096","57,245","68,256","19,457","58,742","70,885","19,924","58,469","71,274","20,613","59,921","72,821","21,263","62,841","75,693","22,009","64,315","79,393"
ACT,2603,"5,973","45,229","62,762","6,210","70,655","116,150","6,305","72,177","112,012","6,478","73,564","122,886","6,650","73,838","110,394","6,850","75,869","115,723","6,978","79,369","119,441","7,165","81,877","126,534"
ACT,2604,"6,053","41,732","49,505","7,205","67,865","81,898","7,464","69,440","83,477","7,387","72,034","86,280","7,984","71,683","87,389","8,265","74,523","90,095","8,478","76,609","91,603","8,617","77,737","95,374"
ACT,2605,"7,872","40,527","48,350","7,433","59,671","78,479","7,384","62,166","80,446","7,437","64,447","85,548","7,574","65,270","85,567","7,699","66,332","89,276","7,830","69,194","91,007","7,973","70,817","93,937"
ACT,2606,"5,261","37,552","44,135","5,902","55,252","68,359","6,119","56,695","68,323","6,312","56,617","70,222","6,550","57,687","70,051","7,055","59,044","72,332","7,248","62,795","75,418","7,851","63,845","78,499"
ACT,2607,"9,348","37,978","45,496","9,244","54,755","69,960","9,132","54,490","70,360","9,224","56,774","76,151","9,403","57,790","73,301","9,527","59,797","75,608","9,624","63,153","80,761","9,827","64,183","81,882"
ACT,2609,629,"31,455","41,182",597,"46,296","66,034",629,"47,552","61,817",561,"47,062","63,438",608,"49,900","64,339",586,"53,071","74,737",592,"53,554","70,769",599,"51,865","68,496"
ACT,2611,"15,713","37,385","42,127","15,452","56,898","67,428","16,330","59,031","68,302","17,714","61,002","70,543","18,721","61,208","71,177","19,703","63,487","73,202","20,726","66,321","76,240","21,807","68,112","78,780"
ACT,2612,"7,018","36,183","44,279","9,514","59,011","70,468","9,728","59,796","72,772","10,180","60,425","74,512","10,631","61,229","75,381","10,926","64,404","78,786","11,456","67,915","82,788","12,569","69,155","83,268"
ACT,2614,"13,168","37,098","42,507","12,156","54,246","67,137","12,212","54,720","66,419","12,324","55,315","67,911","12,586","54,889","68,119","12,843","56,132","69,983","13,123","58,235","71,345","13,381","60,024","74,845"
ACT,2615,"26,277","34,492","37,276","27,050","52,904","58,699","26,897","53,120","59,089","27,270","54,745","60,995","27,635","55,725","61,351","28,142","56,842","62,606","28,646","58,849","65,140","29,416","60,794","67,505"
ACT,2617,"17,113","35,104","38,909","19,597","51,602","60,470","19,761","51,847","60,255","20,445","52,603","61,766","21,761","52,615","62,144","22,914","53,502","62,638","23,649","55,041","64,845","24,474","55,695","66,027"
ACT,2900,726,"37,525","39,434","1,199","54,847","60,724","1,174","56,535","62,703","1,274","59,024","67,532","1,406","60,837","68,330","2,034","58,778","66,211","2,162","61,858","68,147","2,405","61,553","69,255"
ACT,2902,"11,014","35,260","39,987","9,605","53,461","61,344","9,284","53,911","62,305","9,314","54,590","64,308","9,527","54,492","63,729","9,704","55,693","64,601","9,902","57,101","67,072","9,940","59,627","70,111"
