State,Postcode,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Annual Return,Annual Return,Annual Return
Qld,4000,"695,000","681,250","679,078","667,880","608,930","818,058","826,129","787,258","758,891","807,087","883,130","920,696","928,908","851,119","870,132","950,446","995,184","912,043","791,753","792,922","776,433","779,777","752,892","737,024","730,033","732,783","743,924","730,558","712,129","744,727","788,014","793,501","791,156","734,708","721,263","719,641","725,915","718,807","723,113","725,257","725,266","728,017","726,313","763,582","790,130","830,821","815,051","800,941","871,777","828,024","909,298","922,081","777,268","806,508","840,969","864,983","929,062","947,096","949,068","949,285","953,612","957,613","902,851","948,303","849,072","795,254","937,524","860,564","862,941","871,373","863,836","798,990","743,499","836,922","783,058","882,627","890,164","880,416","849,544","883,971","885,061","873,033","979,096","999,943","974,998","917,187","1,013,574","1,006,205","1,013,013","920,938","884,121","937,758","1,088,445","1,267,403","1,278,900","1,289,341","1,288,240","1,166,140","1,240,817","1,215,676","1,303,167","1,037,755","935,328","839,708","800,272","863,079","921,130","814,957","888,935","805,590","821,971","829,467","793,702","918,044","924,503","1,069,672","1,118,729","1,107,733","1,069,546","1,016,970","1,083,561","1,129,142","1,174,196","1,197,262","1,277,102","1,282,006","1,309,500","1,402,016","1,374,345","1,041,933","1,093,246","1,240,203","1,204,075","1,190,752","1,186,922","1,195,685","1,348,168","1,224,885","1,467,184","1,194,199","1,246,512","1,279,735","1,251,858","1,250,116","1,250,004","1,250,000","1,383,750","1,418,554","1,427,722","1,428,295","1,428,332","1,428,333","1,466,876","1,454,430","1,408,902","1,723,681","1,541,365","2,247,898","2,531,119",1.06368522728152,1.063685227,0
Qld,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0
Qld,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0
Qld,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0
Qld,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0
Qld,4005,"960,000","954,687","952,043","940,753","939,484","883,655","870,853","918,585","918,286","1,045,518","1,094,095","1,016,037","997,450","942,341","1,010,271","930,017","900,626","893,320","896,770","908,673","891,167","923,823","982,739","975,171","961,573","956,348","978,740","1,016,046","998,503","1,071,156","988,197","998,794","997,919","1,041,292","1,013,268","1,116,454","1,009,278","1,155,205","1,018,763","960,673","926,854","893,397","879,431","958,402","926,150","928,447","1,008,278","1,038,017","1,030,501","956,187","981,053","914,128","921,457","917,389","872,899","857,466","872,655","885,067","889,692","1,012,949","1,058,622","1,160,879","1,253,336","1,229,740","1,223,429","1,155,839","1,003,276","979,173","986,386","1,033,231","1,209,733","1,212,327","1,141,958","1,044,561","966,535","998,517","1,179,751","1,199,828","1,153,823","1,140,239","1,250,015","1,266,688","1,394,949","1,299,059","1,278,642","1,194,290","1,184,956","1,143,124","1,178,476","1,197,561","1,195,785","1,173,799","1,194,337","1,245,646","1,243,415","1,231,200","1,174,450","1,175,153","1,245,786","1,298,018","1,292,845","1,277,433","1,259,683","1,348,886","1,240,903","1,136,931","1,191,808","1,397,103","1,407,319","1,209,832","1,176,167","1,209,760","1,331,867","1,339,335","1,391,521","1,334,422","1,294,183","1,217,011","1,219,376","1,115,965","1,109,560","1,112,955","1,116,435","1,094,777","1,276,993","1,406,968","1,214,342","1,157,479","1,164,686","1,104,365","1,290,898","1,406,306","1,400,394","1,400,012","1,400,001","1,394,687","1,320,293","1,285,643","1,483,926","1,434,933","1,241,558","905,674","1,643,922","1,422,120","1,236,004","1,631,000","1,258,969","913,952","877,434","875,152","1,162,505","1,162,500","1,369,415","1,076,995","1,707,937","1,499,455","1,749,918","1,749,995","1,750,000",1.03215276165435,1.032152762,0
Qld,4006,"699,000","667,250","672,966","790,935","865,465","871,185","850,449","837,809","889,863","893,585","846,724","798,389","752,191","738,918","752,807","744,519","705,907","685,119","702,695","715,543","701,190","709,918","720,432","656,902","666,369","721,804","674,925","660,745","670,484","751,780","696,924","754,370","759,221","676,160","605,729","674,295","675,581","581,411","590,244","589,234","603,046","630,190","625,949","597,309","576,019","578,907","737,744","695,078","652,005","659,781","705,899","675,244","658,898","651,622","658,539","658,986","612,562","598,767","643,110","688,632","678,571","617,377","635,305","651,503","675,461","740,404","723,888","645,868","680,492","668,984","728,624","643,195","847,075","799,190","798,137","802,426","795,995","851,312","929,260","809,204","1,119,763","689,618","698,414","778,932","853,295","796,456","850,091","831,253","810,391","853,368","972,960","932,185","908,568","820,035","808,221","657,757","693,985","764,499","790,109","804,226","845,827","901,963","872,779","785,861","759,589","810,412","847,526","827,829","837,552","853,722","890,366","837,398","815,419","744,339","756,459","825,592","674,724","733,733","747,733","751,960","768,716","766,600","769,787","832,237","856,164","893,198","1,052,012","1,093,657","1,094,916","1,099,529","1,098,095","1,037,225","920,764","935,649","1,074,728","1,143,460","1,024,279","1,008,080","911,409","956,807","1,029,467","1,109,166","1,213,604","1,230,100","885,878","777,242","1,002,453","999,577","1,001,848","962,240","999,101","1,001,819","1,001,994","1,002,000","1,002,000","1,184,000","1,242,500","1,711,656","1,969,478",1.02813392789363,1.028133928,0
Qld,4007,"679,000","710,500","674,506","639,344","668,553","718,222","795,514","779,688","815,918","833,651","881,166","813,354","771,689","742,793","834,549","844,659","837,791","830,799","788,612","951,101","928,819","814,207","798,950","790,372","897,211","970,138","885,634","827,852","761,428","796,027","795,064","805,941","803,965","837,904","804,150","874,666","804,354","795,585","758,786","786,799","846,050","854,347","857,522","854,376","854,023","852,439","823,840","828,052","817,378","802,418","799,575","690,723","699,491","759,734","1,066,233","932,695","889,459","943,421","933,964","984,935","1,051,558","793,517","696,470","822,592","947,659","1,070,479","1,035,484","1,041,280","1,249,455","1,180,920","1,195,057","1,122,504","1,145,469","1,006,265","1,129,454","1,012,014","839,563","836,348","840,511","865,532","857,533","861,454","958,341","905,520","972,907","969,713","880,419","850,934","805,746","768,422","773,183","827,980","872,031","842,939","907,902","943,684","882,418","1,028,745","951,398","936,681","958,824","1,037,073","959,786","766,237","732,226","922,952","985,809","941,510","927,282","840,018","879,688","876,762","771,430","943,464","919,904","951,169","941,792","887,612","897,101","806,441","870,340","1,016,729","931,046","861,909","929,466","906,248","980,078","982,190","990,762","1,181,039","998,034","872,393","804,212","945,678","945,667","903,771","951,079","942,005","900,828","900,020","935,626","915,051","901,878","843,305","966,916","1,113,557","1,141,472","1,201,452","1,205,716","1,195,670","1,060,958","1,003,810","1,179,806","1,161,238","1,150,702","1,132,231","1,132,492","1,153,437","1,159,433",1.0391000023386,1.039100002,0
Qld,4008,"472,500","489,375","491,273","472,267","451,392","436,181","386,855","372,460","396,872","408,336","467,396","444,056","442,889","442,597","429,381","458,086","459,880","450,367","430,335","447,458","443,185","440,199","440,012","439,532","432,033","459,815","544,363","528,295","454,393","440,431","419,308","435,113","427,898","412,744","401,296","399,143","399,009","395,438","363,434","360,215","360,013","374,063","372,598","401,631","423,071","428,786","424,705","369,669","390,213","405,353","407,771","409,861","393,954","391,738","391,671","391,667","429,792","449,368","449,960","449,997","450,000","450,000","405,375","399,398","399,012","399,001","407,000","407,000","407,000","407,000",0,0,0,0,0,0,0,0,"403,000","401,000","402,666",0,0,"403,500","404,281","435,538","439,721","439,991","439,999","428,750","405,734","400,233","399,038","399,002","400,906","421,935","455,715","459,732","459,992","459,999","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000","460,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"460,000","460,000","460,000","460,000","486,250","489,766",0,0,"489,941","489,985","489,999","490,000","490,000",0,0,"490,000",0,"520,000","546,250","549,766","460,000",0,0,0,"460,000","460,000","460,000",1.00726039378251,1.007260394,0
Qld,4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0
